"","ctrl_A","ctrl_B","IL6_A","IL6_B","IL10_A","IL10_B","IL6IL10_A","IL6IL10_B","X1","X2","X3","X4"
"Zfp626",174.4114921,158.1568959,208.8977557,177.8952826,174.8173799,172.7786629,195.6513526,175.5577061,0,0,0,0
"Zfp59",166.4383953,181.1797351,166.4100766,141.4839674,159.1758248,158.9194119,145.9936489,152.3050298,0,0,0,0
"Zfp607a",172.4182179,167.165833,157.5584768,173.7339894,155.4954589,188.4858141,148.9731111,140.6786917,0,0,0,0
"Zfp974",203.3139679,184.1827142,130.1185174,168.532373,172.0571055,182.9421137,134.0758,134.8655226,0,0,0,0
"Gm10651",167.4350324,155.1539168,161.9842767,181.0162525,161.9360993,157.0715118,158.9046519,158.1181989,0,0,0,0
"Zfp780b",282.0482986,346.3435821,263.7776746,274.6453486,296.2694543,296.5879722,252.2611349,268.5684114,0,0,0,0
"Zfp850",79.73096782,64.06355275,77.89407841,83.2258632,80.96804963,85.00340637,87.39755854,73.24593037,0,0,0,0
"Psmc4",1947.428889,1922.907576,2251.846994,2162.83212,2285.507219,2086.279256,2334.905229,2476.410027,0,0,0,0
"Fbl",282.0482986,330.3276939,357.6046327,364.1131515,341.3539365,286.4245214,333.699769,373.2054547,0,0,0,0
"Dyrk1b",728.5417184,784.7785212,351.4085128,362.0325049,451.7649133,445.3439334,353.5628504,361.5791166,0,0,0,0
"Eid2",40.86212101,43.04269951,46.02831906,57.21778095,52.44521396,47.12145353,38.7330089,31.39111302,0,0,0,0
"Eid2b",145.5090163,145.1439867,122.1520775,156.0484935,176.6575628,170.9307628,157.9114978,119.751283,0,0,0,0
"Timm50",584.0293393,577.5729678,693.0802659,607.5488014,674.4270497,581.1645935,613.7692179,654.5628381,0,0,0,0
"Supt5",4812.760545,4759.721771,5171.989775,5195.37451,5208.637829,5138.086335,5335.223687,5185.346817,0,0,0,0
"Rps16",1310.577783,1292.281978,1518.049369,1241.105685,1452.824436,1209.450641,1425.176097,1377.721071,0,0,0,0
"Plekhg2",587.0192505,583.5789259,1572.929288,1747.743127,1674.566481,1786.919434,1566.203975,1738.137554,0,0,0,0
"Zfp36",4874.552045,4755.717799,13415.48469,12817.82326,14070.9589,13337.21925,14413.64508,14598.03019,0,0,0,0
"Med29",204.310605,222.2204486,428.4174313,404.6857598,395.6393334,400.07038,411.1657867,477.8424981,0,0,0,0
"Paf1",1763.051026,1664.651379,3049.376138,2899.381009,3140.272198,3155.289486,3265.490596,3348.385388,0,0,0,0
"Samd4b",2218.514179,2246.228318,2628.039986,2560.235617,2567.05521,2631.409797,2574.255361,2619.413986,0,0,0,0
"Gmfg",633.8611941,671.6663109,579.7797882,510.7987354,603.5800063,512.7922884,488.6318045,496.4446392,0,0,0,0
"Lrfn1",50.82849198,45.04468553,26.55479946,28.08872883,19.32192093,22.17480166,19.86308149,23.25267631,0,0,0,0
"Pak4",582.0360651,577.5729678,435.4987111,450.4599846,422.3219861,449.0397336,407.1931705,412.7350045,0,0,0,0
"Mrps12",390.6817423,390.3872746,476.2160703,401.56479,418.6416202,364.0363273,455.8577201,406.9218354,0,0,0,0
"Sars2",231.2198067,225.2234277,223.0603155,242.3953266,220.8219535,234.6833176,216.5075882,187.1840443,0,0,0,0
"Nfkbib",906.9397589,799.7934164,765.6633844,881.1538267,839.1234234,795.5210096,861.0645824,856.8611219,0,0,0,0
"Sirt2",3607.826294,3635.606619,3311.383493,3305.107092,3304.04848,3342.85135,3340.970306,3355.361191,0,0,0,0
"Gm19897",20.92937905,12.01191614,14.16255971,22.88711238,28.52283566,25.87060194,13.90415704,24.41531012,0,0,0,0
"Rinl",850.1314443,827.8212207,1143.626697,1001.831328,1044.303822,892.5357668,994.1472283,1048.695701,0,0,0,0
"Hnrnpl",5406.756255,5453.409928,6040.331717,5822.689454,5927.229269,5622.236171,6256.870668,5879.439204,0,0,0,0
"Ech1",1636.478114,1635.622581,1711.899405,1506.388124,1627.641816,1509.734413,1636.717914,1470.731776,0,0,0,0
"Lgals4",27.90583874,35.03475541,30.09543939,17.68549593,22.08219535,35.11010263,17.87677334,23.25267631,0,0,0,0
"Actn4",6449.238659,6725.672046,6106.718716,6205.528425,5496.62646,5864.311089,5856.629576,6003.841023,0,0,0,0
"Eif3k",2539.431325,2547.527215,2449.23767,2209.646668,2359.114537,2174.978463,2408.39863,2296.201785,0,0,0,0
"Map4k1",396.6615649,399.3962117,264.6628346,329.7824829,262.2260698,340.0136255,247.2953645,309.2605949,0,0,0,0
"Ryr1",42.8553952,26.02581831,29.21027941,48.89519463,29.44292714,62.82860471,36.74670075,43.01745117,0,0,0,0
"Rasgrp4",924.8792267,796.7904374,1161.329896,1242.146008,1162.07553,1156.785487,1112.332563,1121.941632,0,0,0,0
"Fam98c",271.0852906,297.2949245,303.6098738,340.1857158,331.2329303,312.2951234,357.5354667,306.9353273,0,0,0,0
"Spred3",135.5426453,104.1032732,186.7687562,211.1856279,204.260307,253.162319,205.5828934,227.8762278,0,0,0,0
"Ggn",58.80158876,50.04965059,71.69795854,100.9113591,86.48859847,99.78660747,94.34963706,118.5886492,0,0,0,0
"Psmd8",4182.885899,4072.039572,4853.332181,4793.809721,4983.215418,4546.75829,5071.044703,5339.977114,0,0,0,0
"Catsperg1",103.6502582,128.1271055,92.05663813,120.6775016,112.2511597,89.62315671,100.3085615,76.73383182,0,0,0,0
"Kcnk6",2506.542301,2415.396137,2725.407585,2989.889136,3024.340672,2944.628871,3235.695974,3061.214836,0,0,0,0
"Yif1b",842.1583476,934.927473,945.3508608,839.5408951,872.2467165,840.794563,896.8181291,851.0479529,0,0,0,0
"Spint2",65.77804845,72.07149685,36.29155926,43.69357818,43.24429923,36.0340527,39.72616297,34.87901446,0,0,0,0
"Sipa1l3",852.1247185,920.9135708,795.7588238,931.0893446,797.7193071,954.4404215,777.6396402,789.4283607,0,0,0,0
"Catsperg2",31.89238713,27.02681132,10.62191978,21.84678909,16.56164651,19.40295145,11.91784889,10.46370434,0,0,0,0
"Zfp84",724.55517,733.7278776,676.2622262,652.2827029,667.066318,704.0499527,673.3584624,642.9364999,0,0,0,0
"Zfp30",38.86884681,31.03078337,19.4735196,27.04840554,18.40182946,18.47900138,14.89731111,9.301070523,0,0,0,0
"Zfp790",428.553952,467.4637365,423.9916314,480.62936,425.0822606,443.4960332,476.7139556,489.4688363,0,0,0,0
"Zfp940",31.89238713,45.04468553,35.40639928,26.00808225,25.76256125,38.80590291,35.75354667,24.41531012,0,0,0,0
"Zfp420",68.76795974,75.07447588,69.92763858,76.98392346,70.84704343,78.53575588,74.48655557,87.19753615,0,0,0,0
"Zfp27",154.4787501,165.1638469,169.9507165,157.0888168,156.4155504,170.0068127,176.7814252,166.2566356,0,0,0,0
"Zfp383",89.69733879,92.09135708,77.89407841,75.94360017,68.08676901,65.60045491,58.59609038,63.94485985,0,0,0,0
"Zfp74",250.1559115,255.253218,208.0125958,201.8227183,226.3425024,239.3030679,224.4528208,217.4125235,0,0,0,0
"C230062I16Rik",882.0238315,954.9473332,1056.881018,882.19415,987.2581506,934.11352,1056.715935,998.7024474,0,0,0,0
"Zfp568",282.0482986,270.2681132,265.5479946,313.1373103,360.6758574,349.2531262,311.8503793,277.8694819,0,0,0,0
"Zfp14",123.5830001,101.1002942,77.89407841,106.1129756,87.40868994,99.78660747,94.34963706,95.33597286,0,0,0,0
"Zfp82",84.7141533,65.06454577,57.53539883,63.45972069,84.64841552,64.67650484,69.5207852,75.571198,0,0,0,0
"Zfp566",39.86548391,64.06355275,37.17671924,43.69357818,34.96347598,59.13280443,45.68508742,53.48115551,0,0,0,0
"Zfp260",967.7346219,945.9383961,813.4620234,881.1538267,857.5252529,918.4063688,908.735978,809.1931355,0,0,0,0
"Zfp382",110.6267178,113.1122103,72.58311852,100.9113591,84.64841552,132.1248599,80.44548002,113.9381139,0,0,0,0
"Zfp146",607.9486296,602.5977931,713.4389455,715.7424235,695.5891536,738.2361053,763.7354831,741.7603742,0,0,0,0
"Gm5113",69.76459684,70.06951082,73.4682785,93.6290961,59.80594575,77.61180581,50.65085779,74.40856419,0,0,0,0
"Cox7a1",52.82176618,32.03177638,26.55479946,21.84678909,25.76256125,29.56640221,27.80831408,27.90321157,0,0,0,0
"Capns1",9385.331549,9447.372045,10076.66123,9496.070992,9657.280101,9183.139738,9924.588664,9777.750387,0,0,0,0
"Tbcb",1239.81655,1275.265097,1610.106007,1518.872003,1513.550473,1373.913753,1595.998597,1677.680596,0,0,0,0
"Polr2i",381.7120084,395.3922397,412.4845516,405.7260831,393.7991505,412.0817309,427.0562519,447.6140189,0,0,0,0
"Wdr62",915.9094928,892.8857665,602.7939477,558.6536068,605.4201893,607.0351955,530.3442757,515.0467802,0,0,0,0
"Alkbh6",457.4564278,482.4786317,490.37863,419.2502859,467.4064683,492.4653869,466.7824149,454.5898218,0,0,0,0
"Sdhaf1",191.3543228,239.2373298,262.0073547,212.2259512,247.5046063,223.5959167,259.2132134,255.7794394,0,0,0,0
"Tyrobp",29239.33917,28929.69903,28141.00615,26811.21183,28823.70558,26165.34201,27708.00552,27617.20365,0,0,0,0
"Hcst",207.3005163,215.2134975,197.390676,168.532373,170.2169225,134.8967101,158.9046519,122.0765506,0,0,0,0
"Nfkbid",536.1907586,569.5650237,452.3167508,456.7019243,399.3196993,421.3212316,376.4053941,424.3613426,0,0,0,0
"Aplp1",29.89911293,31.03078337,36.29155926,35.37099186,45.08448218,29.56640221,32.77408445,44.18008499,0,0,0,0
"Arhgap33",46.84194359,50.04965059,40.71735917,28.08872883,46.00457365,18.47900138,31.78093038,24.41531012,0,0,0,0
"Proser3",105.6435324,118.1171754,84.97535827,61.37907411,69.00686048,85.00340637,52.63716594,83.70963471,0,0,0,0
"Hspb6",123.5830001,114.1132033,88.5159982,105.0726523,123.2922574,110.8740083,105.2743319,113.9381139,0,0,0,0
"Lin37",437.5236859,415.4120999,416.9103515,409.8873763,436.1233582,395.4506296,440.960409,426.6866103,0,0,0,0
"Psenen",713.592162,672.6673039,811.6917035,823.9360457,867.6462591,797.3689097,875.9618935,852.2105867,0,0,0,0
"U2af1l4",692.6627829,602.5977931,552.3398288,588.8229822,636.7032994,657.8524493,598.8719068,648.749669,0,0,0,0
"Igflr1",124.5796372,132.1310776,154.9029968,164.3710798,111.3310682,137.6685603,115.2058726,117.4260154,0,0,0,0
"Kmt2b",2077.988349,2244.226332,2295.219833,2495.735573,2352.673897,2645.269048,2362.713543,2483.38583,0,0,0,0
"Cox6b1",3015.823858,3052.027693,3312.268653,2957.639114,3235.041619,2903.975067,3246.620669,3219.333035,0,0,0,0
"Rbm42",1996.264107,2108.091283,2212.014795,2193.001495,2244.103103,2153.727611,2197.849966,2199.703179,0,0,0,0
"Haus5",310.9507745,304.3018756,277.0550744,260.0808225,280.6278993,239.3030679,250.2748267,289.49582,0,0,0,0
"Tmem147",1171.04859,1213.20353,1325.084493,1140.194326,1206.239921,1227.005692,1305.004454,1230.066577,0,0,0,0
"Tmem147os",117.6031775,99.09830817,123.0372375,124.8387948,129.7328977,106.254258,118.1853348,113.9381139,0,0,0,0
"Gapdhs",23.91929034,20.01986024,26.55479946,42.65325489,40.48402481,42.50170318,25.82200593,48.83062025,0,0,0,0
"Sbsn",77.73769362,82.08142697,76.12375845,69.70166043,74.52740932,66.52440498,59.58924446,68.59539511,0,0,0,0
"Dmkn",17.93946776,25.02482529,39.83219919,21.84678909,34.96347598,25.87060194,31.78093038,30.2284792,0,0,0,0
"Ffar2",26.90920164,13.01290915,46.02831906,46.81454805,86.48859847,52.66515394,58.59609038,65.10749366,0,0,0,0
"Cd22",807.2760491,854.8480321,551.4546688,555.5326369,659.7055862,677.2554007,517.4332727,580.1542739,0,0,0,0
"Mag",134.5460082,125.1241265,117.7262776,130.0404113,111.3310682,131.2009098,99.31540743,111.6128463,0,0,0,0
"Usf2",2919.150059,2852.830084,2643.087706,2729.808313,2781.436523,2920.606169,3015.215769,2603.137113,0,0,0,0
"Gm4673",91.69061299,78.07745492,79.66439838,83.2258632,87.40868994,86.8513065,65.5481689,95.33597286,0,0,0,0
"Lsr",284.0415728,329.3267009,294.758274,375.5567077,394.7192419,392.6787794,433.0151764,325.5374683,0,0,0,0
"Fam187b",55.81167747,47.04667155,53.9947589,47.85487134,75.44750079,66.52440498,50.65085779,38.36691591,0,0,0,0
"Fxyd5",16112.63196,14948.82964,16677.29922,15731.76879,17772.48689,15420.72665,16850.84518,16809.3597,0,0,0,0
"Lgi4",34.88229842,28.02780433,38.94703921,40.57260831,31.28311008,42.50170318,33.76723853,38.36691591,0,0,0,0
"Hpn",174.4114921,170.168812,60.19087877,63.45972069,97.52969614,74.8399556,59.58924446,59.29432459,0,0,0,0
"Scn1b",814.2525088,859.8529971,509.8521496,516.0003519,492.2489381,496.1611872,449.8987956,410.4097368,0,0,0,0
"Gramd1a",1993.274195,1855.841044,2756.388184,2843.203552,2885.406859,2958.488122,3280.387907,3165.851879,0,0,0,0
"Wtip",67.77132264,62.06156673,112.4153177,106.1129756,96.60960467,99.78660747,112.2264104,132.540255,0,0,0,0
"Uba2",1852.748365,1767.753659,2174.838076,2098.332076,2167.735511,2095.518757,2170.041652,2246.208531,0,0,0,0
